journal_name,issn,field,doi,title,received_date,accepted_date,revised_date,published_date,days_submission_to_acceptance,days_acceptance_to_publication,days_total,data_source
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24055,Cell-wide arrangement of Golgi/RE units depends on the microtubule organization,2024-09-07,2024-09-17,,2024-01-01,10,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24065,Multi-color fluorescence live-cell imaging in &lt;i&gt;Dictyostelium discoideum&lt;/i&gt;,2024-10-22,2024-11-22,,2024-01-01,31,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24035,Possible roles of CAHS proteins from Tardigrade in osmotic stress tolerance in mammalian cells,2024-06-14,2024-11-03,,2024-12-05,142,32,174,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24046,Molecular alterations associated with pathophysiology in liver-specific ZO-1 and ZO-2 knockout mice,2024-07-28,2024-09-21,,2024-01-01,55,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24018,A high-resolution phase-contrast microscopy system for label-free imaging in living cells,2024-04-04,2024-05-10,,2024-05-29,36,19,55,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24024,Visualization of ER-to-Golgi trafficking of procollagen X,2024-04-24,2024-08-31,,2024-01-01,129,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22074,Enhancement of Vivid-based photo-activatable Gal4 transcription factor in mammalian cells,2022-10-27,2022-12-07,,2023-01-01,41,25,66,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22060,Suppression of P-cadherin expression as a key regulatory element for embryonic stem cell stemness,2022-09-02,2022-12-13,,2023-01-01,102,19,121,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23072,Signal sequence-triage is activated by translocon obstruction sensed by an ER stress sensor IRE1α,2022-11-18,2023-09-24,,2023-01-01,310,,44,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23067,VAMP5 and distinct sets of cognate Q-SNAREs mediate exosome release,2023-09-08,2023-09-11,,2023-01-01,3,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23044,IC2 participates in the cooperative activation of outer arm dynein densely attached to microtubules,2023-06-13,2023-07-17,,2023-07-28,34,11,45,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23028,Two coral fluorescent proteins of distinct colors for sharp visualization of cell-cycle progression,2023-04-12,2023-06-26,,2023-01-01,75,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22049,A conserved WXXE motif is an apical delivery determinant of ABC transporter C subfamily isoforms,2022-06-30,2022-07-15,,2023-01-01,15,170,185,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23032,"FilGAP, a GAP for Rac1, down-regulates invadopodia formation in breast cancer cells",2023-04-13,2023-07-20,,2023-01-01,98,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23060,Significance of the p38MAPK-CRP2 axis in myofibroblastic phenotypic transition,2023-08-23,2023-09-20,,2023-01-01,28,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22068,Reconstitution of functional tight junctions with individual claudin subtypes in epithelial cells,2022-10-09,2022-12-01,,2023-01-01,53,31,84,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23014,Proteomic analysis of fatty liver induced by starvation of medaka fish larvae,2023-03-05,2023-06-23,,2023-06-28,110,5,115,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23049,Coronin-1 promotes directional cell rearrangement in &lt;i&gt;Drosophila&lt;/i&gt; wing epithelium,2023-07-16,2023-11-08,,2023-01-01,115,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22081,Role of phosphatidylserine in the localization of cell surface membrane proteins in yeast,2022-11-10,2022-12-06,,2023-01-01,26,26,52,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23047,Visual quantification of prostaglandin E&lt;sub&gt;2&lt;/sub&gt; discharge from a single cell,2023-06-24,2023-10-02,,2023-01-01,100,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23016,Cell biology of protein–lipid conjugation,2023-03-11,2023-03-29,,2023-01-01,18,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23061,Rab32 and Rab38 maintain bone homeostasis by regulating intracellular traffic in osteoclasts,2023-08-27,2023-09-28,,2023-11-10,32,43,75,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23026,Zebrafish imaging reveals hidden oncogenic–normal cell communication during primary tumorigenesis,2023-03-28,2023-05-08,,2023-01-01,41,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23004,Role of CRP2-MRTF interaction in functions of myofibroblasts,2023-01-24,2023-03-18,,2023-01-01,53,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23045,Sphingomyelin metabolism underlies Ras excitability for efficient cell migration and chemotaxis,2023-06-19,2023-07-08,,2023-01-01,19,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22085,A non-nucleotide agonist that binds covalently to cysteine residues of STING,2022-11-20,2022-12-23,,2023-01-01,33,9,42,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22034,PRL stimulates mitotic errors by suppressing kinetochore-localized activation of AMPK during mitosis,2022-05-17,2022-10-28,,2022-01-01,164,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21078,Ubiquitin-like 3 as a new protein-sorting factor for small extracellular vesicles,2021-11-24,2021-12-27,,2022-01-01,33,5,38,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22014,Appropriate tension sensitivity of α-catenin ensures rounding morphogenesis of epithelial spheroids,2022-03-31,2022-06-06,,2022-01-01,67,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22005,"Munc13b stimulus-dependently accumulates on granuphilin-mediated, docked granules prior to fusion",2022-02-10,2022-03-30,,2022-01-01,48,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21047,A method for the generation of pseudovirus particles bearing SARS coronavirus spike protein in high yields,2021-08-19,2022-04-19,,2022-01-01,243,,135,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21080,Specific association of TBK1 with the trans-Golgi network following STING stimulation,2021-12-12,2022-01-30,,2022-01-01,49,,20,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.22071,Quantitative 3D correlative light and electron microscopy of organelle association during autophagy,2022-10-13,2022-11-03,,2022-01-01,21,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21041,Nuclear RNA Regulation by XRN2 and XTBD Family Proteins,2021-07-15,2021-08-30,,2021-01-01,46,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21043,In vivo Roles of Rab27 and Its Effectors in Exocytosis,2021-08-03,2021-08-31,,2021-01-01,28,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21052,A Dual Promoter System to Monitor IFN-γ Signaling &lt;i&gt;in vivo&lt;/i&gt; at Single-cell Resolution,2021-09-10,2021-10-27,,2021-01-01,47,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21019,Hrd1-dependent Degradation of the Unassembled PIGK Subunit of the GPI Transamidase Complex,2021-03-01,2021-06-08,,2021-01-01,99,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20057,Dispensability of Tubulin Acetylation for 15-protofilament Microtubule Formation in the Mammalian Cochlea,2020-07-02,2020-12-24,,2021-02-06,175,44,219,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21002,Knock-in of Labeled Proteins into 5’UTR Enables Highly Efficient Generation of Stable Cell Lines,2020-09-30,2021-01-14,,2021-01-01,106,,93,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20055,Mevalonate Pathway-mediated ER Homeostasis Is Required for Haploid Stability in Human Somatic Cells,2020-11-05,2020-12-12,,2021-01-01,37,20,57,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21011,Visualization of DNA Replication in Single Chromosome by Stable Isotope Labeling,2021-01-22,2021-09-11,,2021-01-01,232,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21015,Multiple Ways for Stress Sensing and Regulation of the Endoplasmic Reticulum-stress Sensors,2021-02-06,2021-03-11,,2021-01-01,33,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.21022,Expression Patterns and Levels of All Tubulin Isotypes Analyzed in GFP Knock-In &lt;i&gt;C. elegans&lt;/i&gt; Strains,2021-03-19,2021-04-28,,2021-01-01,40,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20025,Visualization of Procollagen IV Reveals ER-to-Golgi Transport by ERGIC-independent Carriers,2020-03-04,2020-06-13,,2020-01-01,101,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.19030,Reinvestigation of Disulfide-bonded Oligomeric Forms of the Unfolded Protein Response Transducer ATF6,2019-09-16,2019-12-12,,2020-01-01,87,20,107,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20007,Centrosomal and Non-centrosomal Functions Emerged through Eliminating Centrosomes,2020-03-02,2020-04-03,,2020-01-01,32,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20030,An Antiviral Drug Screening Platform with a FRET Biosensor for Measurement of Arenavirus Z Assembly,2020-06-28,2020-11-07,,2020-01-01,132,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.19021,&lt;i&gt;N&lt;/i&gt;-glycosylation of Rim21 at an Unconventional Site Fine-tunes Its Behavior in the Plasma Membrane,2019-08-02,2019-11-24,,2020-01-01,114,38,152,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20013,Roles of the Translation Initiation Factor eIF2α Phosphorylation in Cell Structure and Function,2020-03-31,2020-04-24,,2020-01-01,24,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20010,Biliverdin Reductase-A Deficiency Brighten and Sensitize Biliverdin-binding Chromoproteins,2020-03-24,2020-06-20,,2020-01-01,88,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20028,Prickle2 and Igsf9b Coordinately Regulate the Cytoarchitecture of the Axon Initial Segment,2020-06-11,2020-07-01,,2020-01-01,20,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20012,MON2 Guides Wntless Transport to the Golgi through Recycling Endosomes,2020-03-26,2020-05-04,,2020-01-01,39,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.19039,Rab7B/42 Is Functionally Involved in Protein Degradation on Melanosomes in Keratinocytes,2019-12-11,2020-01-31,,2020-01-01,51,,21,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20018,p18/Lamtor1-mTORC1 Signaling Controls Development of Mucin-producing Goblet Cells in the Intestine,2020-04-28,2020-05-22,,2020-01-01,24,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.20020,Internalization of AMPA-type Glutamate Receptor in the MIN6 Pancreatic β-cell Line,2020-05-11,2020-06-18,,2020-01-01,38,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.19040,Hierarchical Development of Motile Polarity in Durotactic Cells Just Crossing an Elasticity Boundary,2019-09-15,2019-12-23,,2020-01-01,99,9,108,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.18031,PGSE Is a Novel Enhancer Regulating the Proteoglycan Pathway of the Mammalian Golgi Stress Response,2018-10-25,2018-11-17,,2019-01-01,23,45,68,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.19033,Localization of BCR-ABL to Stress Granules Contributes to Its Oncogenic Function,2019-10-10,2019-11-12,,2019-01-01,33,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.19013,Towards Enhancing Therapeutic Glycoprotein Bioproduction: Interventions in the PI3K/AKT/mTOR Pathway,2019-05-02,2019-06-18,,2019-01-01,47,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.19023,Dispersion of Endoplasmic Reticulum-associated Compartments by 4-phenyl Butyric Acid in Yeast Cells,2019-08-05,2019-10-10,,2019-01-01,66,,,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.ed298,Impact of Chronic Limb-Threatening Ischemia in Patients on Hemodialysis,2025-11-25,2025-11-28,,2026-03-01,3,93,96,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.er65520,Cholesterol Uptake Capacity as a Prognostic Marker of Cardiovascular Events for Patients with Coronary Artery Disease,2026-02-09,2026-02-10,,2026-03-01,1,19,20,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.ed295,Frailty Progression in Chronic Limb-threatening Ischemia: A Dynamic Target for Comprehensive Care,2025-10-23,2025-10-28,,2026-03-01,5,124,129,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65843,"Chronic Limb-Threatening Ischemia in Patients Undergoing Hemodialysis: Epidemiology, Risk Factors, and Outcomes",2025-05-22,2025-09-18,,2026-03-01,119,164,283,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65925,Evinacumab Improved the Homozygous Familial Hypercholesterolemia Lipid Metabolism: A Case Report,2025-07-16,2025-08-17,,2026-03-01,32,196,228,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65804,Clinical Significance of Adjusting the Estimated Glomerular Filtration Rate by an Individual’s Body Surface Area from the Perspective of the Cardio-ankle Vascular Index: A Cross-sectional Study,2025-04-05,2025-09-11,,2026-03-01,159,171,330,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.rv22046,Genetic Testing for Children with Familial Hypercholesterolemia,2025-10-03,2025-10-06,,2026-03-01,3,146,149,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65896,Prevalence of the &lt;i&gt;JAK2&lt;/i&gt; V617F Mutation in Patients with Non-Cardioembolic Stroke,2025-06-11,2025-09-21,,2026-03-01,102,161,263,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65783,Prognostic Value of the HELT-E&lt;sub&gt;2&lt;/sub&gt;S&lt;sub&gt;2&lt;/sub&gt; Score in Patients with Lower Extremity Artery Disease and a Comparison with the Atrial Fibrillation and Lower Extremity ,2025-03-27,2025-09-01,,2026-03-01,158,181,339,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65908,Lipid Management for Secondary Prevention in Atherosclerotic Cardiovascular Disease: A Scoping Review and Scientific Report,2025-06-04,2025-11-10,,2026-03-01,159,111,270,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65941,Pemafibrate Increases Circulating Angiopoietin-like Proteins 3 and 4 Without Promoting Pro-Atherogenic Changes in LDL and HDL Subspecies: A Post-Hoc Analysis of the PRESTIGE Study,2025-07-28,2025-09-12,,2026-03-01,46,170,216,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65916,Incidence and Predictors of In-Hospital Frailty Progression in Patients with Chronic Limb-Threatening Ischemia after Endovascular Therapy: Results of the RIGEL Study,2025-07-07,2025-08-21,,2026-03-01,45,192,237,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65662,Cholesterol Efflux Capacity and Anti-Oxidative Activity of High-Density Lipoprotein in Chronic Kidney Disease,2025-01-29,2025-06-25,,2026-02-01,147,221,368,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65842,Association between Serum Interleukin-6 Levels and Long-term Outcomes after Ischemic Stroke: A Prospective Cohort Study,2025-05-02,2025-07-23,,2026-02-01,82,193,275,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65800,Von Willebrand Factor Multimers in Aortic Stenosis Surgery: Dynamics and Disease Correlation,2025-04-02,2025-06-24,,2026-02-01,83,222,305,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65820,Association between Epicardial Adipose Tissue Volume and Changes in Left Ventricular Ejection Fraction in Patients with Acute Coronary Syndrome,2025-04-15,2025-06-24,,2026-02-01,70,222,292,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65577,"Blood Cells, Endothelial Cells, and Circulating Extracellular Vesicles Induce Procoagulant Activity by Phosphatidylserine Exposure in Chronic Coronary Artery Disease Patients with In-stent Restenosis ",2024-12-13,2025-07-10,,2026-02-01,209,206,415,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65700,Intracranial Artery Calcification Relates to Brain Damage and Clinical Outcomes in Patients Receiving Intravenous Thrombolysis,2025-02-18,2025-07-01,,2026-02-01,133,215,348,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65812,Joint Impact of Smoking and Metabolic Syndrome on Cardiovascular Disease: A Cohort Study,2025-04-10,2025-07-17,,2026-02-01,98,199,297,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.ed292,When Fat Speaks: Decoding the Signals of Epicardial Adipose Tissue after Acute Coronary Syndrome,2025-09-03,2025-09-03,,2026-02-01,0,151,151,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65781,A Case of Acquired LCAT Deficiency with the Discrepancy between Spontaneous Resolution of Proteinuria and Continually Low HDL Cholesterol Levels,2025-03-25,2025-07-28,,2026-02-01,125,188,313,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65870,"Calculated Excess-Triglyceride Based on the Friedewald Formula is a Possible Surrogate Marker for the Production of Large Very-Low Density Lipoprotein, A Post-Hoc Analysis of the PROUD48 Study",2025-05-25,2025-08-17,,2026-02-01,84,168,252,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65834,Low-Density-Lipoprotein Cholesterol Control and Treatment Status 1 Year after the Initial Health Checkup in Individuals with Referral-Level LDL Cholesterol,2025-04-25,2025-07-27,,2026-02-01,93,189,282,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.65825,The Blockade of Delta-Like Ligand 1 Inhibits Atherosclerotic Lesion Formation and Attenuates Plaque Vulnerability,2025-04-19,2025-11-13,,2026-01-01,208,49,257,jstage
Journal of Atherosclerosis and Thrombosis,1880-3873,Biochemistry,10.5551/jat.ed296,Advances in Beyond Statin Lipid Therapies for ASCVD Risk Reduction,2025-11-02,2025-11-04,,2026-01-01,2,58,60,jstage
